,company,rating,location,company_size,revenue,glassdoor_awards,other_awards,interview_difficulty
398,Asana,4.8,2,2,0.001,1,1,3.1
399,vCom Solutions,4.8,5,3,0.05,1,1,3.1
401,C3.ai,4.8,1,2,0.5,1,1,3.2
402,Sage Intacct,4.7,5,2,0.001,1,1,2.9
403,TSheets,4.7,4,2,0.001,0,1,3
404,411 Locals,4.7,4,2,0.01,0,1,4.4
405,Weave,4.7,5,2,0.001,1,1,2.5
406,SADA Systems,4.7,4,2,0.5,0,1,3
407,WP Engine,4.7,3,2,0.001,0,1,2.6
409,SendGrid,4.6,4,2,0.5,1,1,2.7
410,Mavenlink,4.6,2,2,0.001,1,1,2.6
411,SeatGeek,4.5,3,2,0.001,1,1,2.9
414,Wonolo,4.6,4,2,0.5,0,1,3
417,Health Catalyst,4.6,4,2,0.1,0,0,3
418,Dotcom Team,4.6,2,2,0.5,1,1,3
421,DiscoverOrg,4.6,4,3,0.01,0,0,2.6
422,Lever,4.6,5,2,0.5,0,1,3.1
425,Duo Security,4.6,1,2,0.001,1,1,2.8
426,ScienceLogic,4.5,3,2,0.5,0,1,2.9
427,LogicMonitor,4.5,3,2,0.1,0,1,3
428,AGS,4.5,3,2,0.001,1,1,2.6
429,TSP,4.4,5,2,0.5,1,1,2.4
430,BambooHR,4.5,4,2,0.05,0,1,3.2
431,BirdEye,4.5,3,2,0.001,1,1,2.7
434,SkillStorm,4.5,3,2,0.001,0,1,2.6
437,Surescripts,4.5,4,2,0.5,1,1,3
442,CB Insights,4.5,5,2,0.05,0,1,3
443,ComTec Consultants,4.4,5,3,0.05,1,1,3.1
444,FieldEdge,4.4,3,3,0.05,0,0,3.4
445,Liferay,4.4,4,3,0.05,1,1,2.7
446,FlexTrade Systems Inc.,4.4,2,2,0.001,0,1,3
447,Techstar Consulting,4.4,3,2,0.001,0,1,2
448,QTS,4.4,3,2,0.05,0,0,2.4
449,Conductor,4.4,2,2,0.5,0,1,2.9
450,Greenhouse Software,4.5,4,2,0.05,0,1,3.2
451,QTS,4.4,3,2,0.001,1,1,2.4
452,Edifecs,4.5,5,2,0.5,0,1,2.8
455,Hireology,4.4,5,2,0.05,0,0,2.8
456,Branch,4.1,2,2,0.05,0,1,3.1
457,Canopy,4.4,5,2,0.001,0,0,2.7
458,DigitalOcean,4.3,5,3,0.001,1,0,3
459,Catapult Systems,4.4,3,2,0.5,0,0,3.1
460,Thumbtack,4.4,4,2,0.1,1,1,3.1
461,Outreach,4.4,5,2,0.001,1,1,2.8
462,StormWind Studios,4.4,5,2,0.001,0,1,3.3
465,Applications Software Technology,4.5,1,2,0.001,0,1,2.6
466,Clarity Insights,4.3,1,2,0.1,0,1,2.6
469,ChowNow,4.3,4,3,0.025,0,1,3.2
470,ChowNow,4.3,4,2,0.05,0,0,3.2
471,Whitepages,4.3,5,2,0.05,0,0,3
472,Roblox,4.4,4,3,0.1,1,1,3
473,Addepar,4.3,1,2,0.001,0,1,3
474,Trintech,4.4,3,2,0.001,0,1,2.8
475,Taos,4.3,4,2,0.1,0,1,2.9
476,Netskope,4.3,4,2,0.5,0,0,3
477,Faithlife,4.3,4,2,0.001,0,1,2.8
480,PerfectServe,4.3,3,2,0.1,0,1,2.7
481,DigitalOcean,4.3,5,2,0.05,0,1,3
482,DataServ (Missouri),4.3,5,2,0.5,0,0,2.7
483,Dataprise,4.3,3,3,0.001,0,1,2.9
484,CarGurus,4.3,5,2,0.05,0,1,2.9
485,MemSQL,4.3,4,2,1,0,1,3.3
486,Newsela,4.3,5,3,0.001,0,1,2.9
487,Masergy,4.3,3,2,0.001,0,1,2.9
490,Masergy,4.3,3,3,0.025,0,1,2.9
491,ObjectWin Technology,4.3,3,2,0.5,1,1,2.7
492,Software Technology Group (UT),4.3,5,3,0.05,0,1,2.8
493,Graphiq,4.3,5,2,0.025,0,1,3.1
494,Flatiron Health,4.3,5,3,0.01,1,0,3
495,VIVA USA,4.2,1,2,0.001,0,0,1.9
496,PerfectServe,4.3,3,3,0.05,0,1,2.7
